CADENA;COD;DESCRIPCION;MARCA;COD LOCAL;DESCRIPCION LOCAL;FORMATO;VTA;STOCK;DESCRIPCION LOCAL2
CENCOSUD.xlsx;35241;SAL DE AJO X 4.5 ONZ  BADIA;BADIA;T120;Wong Bajada Balta;WONG;19;32;WONG BAJADA BALTA
CENCOSUD.xlsx;35224;PIMIENTA NEGRA ENTERA X 0.5 ONZ BADIA;BADIA;S009;Supermercado Metro Barranco;METRO;17;48;METRO BARRANCO
CENCOSUD.xlsx;36716;CLAVO DE OLOR  MOLIDO X 2 ONZ BADIA;BADIA;S035;Supermercado Metro San Felipe;METRO;6;15;METRO SAN FELIPE
CENCOSUD.xlsx;4935;AJO EN POLVO X 2 OZ.''BADIA'';BADIA;S011;Supermercado Metro Comas Retab;METRO;52;91;METRO COMAS RETAB
CENCOSUD.xlsx;4930;CANELA EN POLVO X 2 OZ. BADIA;BADIA;H014;Hipermercado Metro Plaza Norte;METRO;26;41;METRO PLAZA NORTE
CENCOSUD.xlsx;4933;SAZONADOR X 3.5 OZ.''BADIA'';BADIA;S008;Supermercado Metro Shell - Mir;METRO;38;59;METRO SHELL   MIR
CENCOSUD.xlsx;4930;CANELA EN POLVO X 2 OZ. BADIA;BADIA;S093;Supermercado Metro Lambramani;METRO;4;12;METRO LAMBRAMANI
CENCOSUD.xlsx;1013267;PIMIENTA NEGRA MOLIDA 4OZ BADIA;BADIA;H005;Hipermercado Metro San Miguel;METRO;3;19;METRO SAN MIGUEL
CENCOSUD.xlsx;990801;CANELA EN RAMA BADIA X8OZ;BADIA;T103;Wong Aurora;WONG;5;5;WONG AURORA
CENCOSUD.xlsx;35229;PIMENTON X 1 ONZ   BADIA;BADIA;S037;Supermercado Metro Balta - Chi;METRO;23;20;METRO BALTA   CHI
CENCOSUD.xlsx;35224;PIMIENTA NEGRA ENTERA X 0.5 ONZ BADIA;BADIA;T115;Wong Aldava;WONG;26;52;WONG ALDAVA
CENCOSUD.xlsx;1015450;FIDEO SEMOLA PENNE RIGATE 500G COLAVITA;COLAVITA;T107;Wong San Borja;WONG;3;10;WONG SAN BORJA
CENCOSUD.xlsx;35171;CANELA EN RAMA X 0.5 ONZ BADIA;BADIA;S081;Supermercado Metro Ej rcito;METRO;11;4;Supermercado Metro Ejercito
CENCOSUD.xlsx;993054;SAL MARINA Y TRUFAS NEGRAS BADIA 9OZ;BADIA;T106;Wong Chacarilla;WONG;8;15;WONG CHACARILLA
CENCOSUD.xlsx;35242;GRAJEAS X 4 ONZ BADIA;BADIA;S068;Supermercado Metro San Eduardo;METRO;6;7;METRO SAN EDUARDO
CENCOSUD.xlsx;1001975;MARSHMALLOW ROCKY MOUNTAIN CL SICOS 150G;ROCKY MOUNTAIN;T130;Wong Sol de La Molina;WONG;12;1;WONG SOL DE LA MOLINA
CENCOSUD.xlsx;521616010;CONDIMENTOS ORGANICOS BADIA FCO  COMINO;BADIA;T130;Wong Sol de La Molina;WONG;8;2;WONG SOL DE LA MOLINA
CENCOSUD.xlsx;35242;GRAJEAS X 4 ONZ BADIA;BADIA;S047;Supermercado Metro Chaclacayo;METRO;3;2;METRO CHACLACAYO
CENCOSUD.xlsx;4920;PAPRIKA 2. OZ. BADIA;BADIA;T132;Wong KM40;WONG;5;38;WONG KM40
CENCOSUD.xlsx;35240;NUEZ MOSCADA MOLIDA X 2 ONZ BADIA;BADIA;H014;Hipermercado Metro Plaza Norte;METRO;15;22;METRO PLAZA NORTE
CENCOSUD.xlsx;946342;SAZONADOR 14ESPECIAS X120.5G BADIA;BADIA;T114;Wong La Planicie;WONG;2;3;WONG LA PLANICIE
CENCOSUD.xlsx;4930;CANELA EN POLVO X 2 OZ. BADIA;BADIA;S005;Supermercado Metro Pershing;METRO;69;53;METRO PERSHING
CENCOSUD.xlsx;35242;GRAJEAS X 4 ONZ BADIA;BADIA;T102;Wong Ovalo Gutierrez;WONG;12;10;WONG OVALO GUTIERREZ
CENCOSUD.xlsx;521616008;CONDIMENTOS ORGANICOS BADIA FCO  ROMERO;BADIA;T104;Wong Benavides;WONG;17;8;WONG BENAVIDES
CENCOSUD.xlsx;37783;SAZONADOR PIMIENTA Y LIMON X 184 GR;BADIA;H001;Hipermercado Metro Chorrillos;METRO;5;8;METRO CHORRILLOS
CENCOSUD.xlsx;35240;NUEZ MOSCADA MOLIDA X 2 ONZ BADIA;BADIA;S097;Supermercado Metro Tumbes;METRO;4;5;METRO TUMBES
